Date,BOD5,NH3N,SS
2000-01-01,32.5,35.0,41.67
2001-01-01,48.33,47.5,44.17
2002-01-01,57.5,65.0,42.5
2003-01-01,63.33,62.5,45.0
2004-01-01,54.17,65.0,35.83
2005-01-01,52.74,61.64,33.56
2006-01-01,65.75,57.53,33.56
2007-01-01,65.73,43.36,33.57
2008-01-01,55.24,39.86,50.35
2009-01-01,19.58,37.76,39.16
2010-01-01,8.39,47.55,24.48
2011-01-01,2.14,56.43,29.29
2012-01-01,8.57,68.57,25.0
2013-01-01,0.0,75.0,29.29
2014-01-01,0.0,70.71,29.29
2015-01-01,0.0,76.43,22.86
2016-01-01,0.0,62.14,13.57
2017-01-01,0.0,46.43,7.86
2018-01-01,37.76,49.65,3.5
2019-01-01,36.81,54.17,8.33
2020-01-01,57.64,76.39,19.44
2021-01-01,86.11,88.19,40.28
