,bod5_proportion,bod5_proportion,bod5_proportion,bod5_proportion,bod5_proportion,nh3n_proportion,nh3n_proportion,nh3n_proportion,nh3n_proportion,nh3n_proportion,ss_proportion,ss_proportion,ss_proportion,ss_proportion,ss_proportion
,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max
year,,,,,,,,,,,,,,,
2000,33.333333333333336,32.5,18.76388374866284,15.0,52.5,33.333333333333336,40.0,13.020070404315538,18.33,41.67,33.333333333333336,35.0,11.758921435800707,20.83,44.17
2001,33.333333333333336,34.17,15.432019742513724,17.5,48.33,33.333333333333336,35.83,12.276898359656375,20.0,44.17,33.333333333333336,31.67,13.412577430655652,20.83,47.5
2002,33.333333333333336,24.17,21.131664234823848,18.33,57.5,33.333333333333336,33.33,9.165000454628103,24.17,42.5,33.333333333333336,23.33,28.036979746993673,11.67,65.0
2003,33.333333333333336,24.17,26.625124099867275,12.5,63.33,33.333333333333336,30.83,10.638243902699982,24.17,45.0,33.333333333333336,23.33,25.67094141891437,14.17,62.5
2004,33.333333333333336,30.83,19.704624668674445,15.0,54.17,33.333333333333336,35.83,7.4075794517057565,25.0,39.17,33.333333333333336,25.83,28.66133690764151,9.17,65.0
2005,33.333333333333336,28.08,17.3858141406531,19.18,52.74,33.333333333333336,33.56,3.7751070624994663,29.45,36.99,33.333333333333336,23.29,24.856440479950734,15.07,61.64
2006,33.333333333333336,19.18,28.148769659317857,15.07,65.75,33.333333333333336,33.56,5.143747012959847,28.08,38.36,33.333333333333336,28.77,22.26848071452863,13.7,57.53
2007,33.330000000000005,25.87,29.3889026675036,8.39,65.73,33.333333333333336,33.57,8.047610411378853,25.17,41.26,33.333333333333336,29.37,8.74660124467403,27.27,43.36
2008,33.333333333333336,32.17,21.348785289410102,12.59,55.24,33.333333333333336,26.57,14.839819181288343,23.08,50.35,33.333333333333336,37.06,8.989334421042159,23.08,39.86
2009,33.333333333333336,29.37,16.10500646796931,19.58,51.05,33.333333333333336,32.87,5.609370136952397,27.97,39.16,33.333333333333336,37.76,9.543800780262197,22.38,39.86
2010,33.5368359375,35.258671875000005,19.250506255338657,8.39,55.24,33.360546875,31.406093750000004,9.28018235433024,24.48,46.15,33.547617187499995,33.880234375,11.713517511953796,18.88,47.55
2011,33.330000000000005,40.71,28.2329293556301,2.14,57.14,33.333333333333336,29.29,10.931030753471209,25.0,45.71,33.333333333333336,25.0,20.25902844001492,18.57,56.43
2012,33.333333333333336,42.14,21.741610642575065,8.57,49.29,33.333333333333336,27.14,12.625883467438362,25.0,47.86,33.333333333333336,20.0,30.815227296473623,11.43,68.57
2013,33.333333333333336,32.86,33.57250263732708,0.0,67.14,33.336666666666666,29.29,7.0090322679620565,29.29,41.43,33.333333333333336,17.14,36.381491631505895,7.86,75.0
2014,33.333333333333336,10.71,48.75487086777416,0.0,89.29,33.333333333333336,29.29,7.635288686967463,28.57,42.14,33.33,15.71,32.38970824197093,13.57,70.71
2015,33.333333333333336,13.57,46.48094484122858,0.0,86.43,33.333333333333336,30.71,12.001984558119268,22.86,46.43,33.336666666666666,14.29,37.40356311012807,9.29,76.43
2016,33.333333333333336,7.86,51.07947663527234,0.0,92.14,33.333333333333336,27.14,23.480792859980973,13.57,59.29,33.333333333333336,21.43,25.07225624736101,16.43,62.14
2017,33.333333333333336,35.71,32.21082788959845,0.0,64.29,33.333333333333336,30.71,26.881176189544483,7.86,61.43,33.333333333333336,32.14,12.542648577287544,21.43,46.43
2018,33.33,36.36,6.4983613319051425,25.87,37.76,33.336666666666666,34.97,29.054452900258397,3.5,61.54,33.333333333333336,28.67,14.55644988770728,21.68,49.65
2019,33.333333333333336,36.11,5.426843772703738,27.08,36.81,33.333333333333336,40.28,22.354709421804912,8.33,51.39,33.333333333333336,25.0,18.165137856161,20.83,54.17
2020,33.333333333333336,31.94,23.640814988771712,10.42,57.64,33.333333333333336,29.17,16.376832213017675,19.44,51.39,33.333333333333336,13.89,37.346413928693785,9.72,76.39
2021,86.11,86.11,,86.11,86.11,40.28,40.28,,40.28,40.28,88.19,88.19,,88.19,88.19
