date,bod5_proportion,nh3n_proportion,ss_proportion,year,month
2010-03-04 15:22:30,34.15734375,33.4421875,34.19046875,2010,3
2000-01-01 00:00:00,32.5,41.67,35.0,2000,1
2000-01-01 00:00:00,52.5,40.0,20.83,2000,1
2000-01-01 00:00:00,15.0,18.33,44.17,2000,1
2001-01-01 00:00:00,48.33,44.17,47.5,2001,1
2001-01-01 00:00:00,34.17,35.83,20.83,2001,1
2001-01-01 00:00:00,17.5,20.0,31.67,2001,1
2002-01-01 00:00:00,57.5,42.5,65.0,2002,1
2002-01-01 00:00:00,24.17,33.33,11.67,2002,1
2002-01-01 00:00:00,18.33,24.17,23.33,2002,1
2003-01-01 00:00:00,63.33,45.0,62.5,2003,1
2003-01-01 00:00:00,24.17,30.83,14.17,2003,1
2003-01-01 00:00:00,12.5,24.17,23.33,2003,1
2004-01-01 00:00:00,54.17,35.83,65.0,2004,1
2004-01-01 00:00:00,30.83,39.17,9.17,2004,1
2004-01-01 00:00:00,15.0,25.0,25.83,2004,1
2005-01-01 00:00:00,52.74,33.56,61.64,2005,1
2005-01-01 00:00:00,28.08,36.99,15.07,2005,1
2005-01-01 00:00:00,19.18,29.45,23.29,2005,1
2006-01-01 00:00:00,65.75,33.56,57.53,2006,1
2006-01-01 00:00:00,19.18,38.36,13.7,2006,1
2006-01-01 00:00:00,15.07,28.08,28.77,2006,1
2007-01-01 00:00:00,65.73,33.57,43.36,2007,1
2007-01-01 00:00:00,25.87,41.26,27.27,2007,1
2007-01-01 00:00:00,8.39,25.17,29.37,2007,1
2008-01-01 00:00:00,55.24,50.35,39.86,2008,1
2008-01-01 00:00:00,32.17,26.57,23.08,2008,1
2008-01-01 00:00:00,12.59,23.08,37.06,2008,1
2009-01-01 00:00:00,19.58,39.16,37.76,2009,1
2009-01-01 00:00:00,51.05,32.87,22.38,2009,1
2009-01-01 00:00:00,29.37,27.97,39.86,2009,1
2010-01-01 00:00:00,8.39,24.48,47.55,2010,1
2010-01-01 00:00:00,55.24,46.15,18.88,2010,1
2010-01-01 00:00:00,36.36,29.37,33.57,2010,1
2011-01-01 00:00:00,2.14,29.29,56.43,2011,1
2011-01-01 00:00:00,57.14,45.71,18.57,2011,1
2011-01-01 00:00:00,40.71,25.0,25.0,2011,1
2012-01-01 00:00:00,8.57,25.0,68.57,2012,1
2012-01-01 00:00:00,49.29,47.86,20.0,2012,1
2012-01-01 00:00:00,42.14,27.14,11.43,2012,1
2013-01-01 00:00:00,0.0,29.29,75.0,2013,1
2013-01-01 00:00:00,32.86,41.43,17.14,2013,1
2013-01-01 00:00:00,67.14,29.29,7.86,2013,1
2014-01-01 00:00:00,0.0,29.29,70.71,2014,1
2014-01-01 00:00:00,10.71,42.14,15.71,2014,1
2014-01-01 00:00:00,89.29,28.57,13.57,2014,1
2015-01-01 00:00:00,0.0,22.86,76.43,2015,1
2015-01-01 00:00:00,13.57,46.43,9.29,2015,1
2015-01-01 00:00:00,86.43,30.71,14.29,2015,1
2016-01-01 00:00:00,0.0,13.57,62.14,2016,1
2016-01-01 00:00:00,7.86,59.29,16.43,2016,1
2016-01-01 00:00:00,92.14,27.14,21.43,2016,1
2017-01-01 00:00:00,0.0,7.86,46.43,2017,1
2017-01-01 00:00:00,35.71,61.43,32.14,2017,1
2017-01-01 00:00:00,64.29,30.71,21.43,2017,1
2018-01-01 00:00:00,37.76,3.5,49.65,2018,1
2018-01-01 00:00:00,25.87,61.54,21.68,2018,1
2018-01-01 00:00:00,36.36,34.97,28.67,2018,1
2019-01-01 00:00:00,36.81,8.33,54.17,2019,1
2019-01-01 00:00:00,27.08,51.39,25.0,2019,1
2019-01-01 00:00:00,36.11,40.28,20.83,2019,1
2020-01-01 00:00:00,57.64,19.44,76.39,2020,1
2020-01-01 00:00:00,31.94,51.39,9.72,2020,1
2020-01-01 00:00:00,10.42,29.17,13.89,2020,1
2021-01-01 00:00:00,86.11,40.28,88.19,2021,1
